,Year,Location,Number of Households,Tenure,Housing Characteristics
1724,2022,"Ottawa-Gatineau, Ontario/Quebec",14900,Renter,Moved due to issues with previous landlord or other tenants
1726,2021,"Ottawa-Gatineau, Ontario/Quebec",2200,Renter,Moved for another reason
1727,2022,"Ottawa-Gatineau, Ontario/Quebec",42100,Renter,Moved for another reason
1732,2021,"Toronto, Ontario",98100,First-time homebuyer,Single-detached house
1733,2022,"Toronto, Ontario",48700,First-time homebuyer,Single-detached house
1735,2021,"Toronto, Ontario",9600,First-time homebuyer,Semi-detached house
1736,2022,"Toronto, Ontario",21200,First-time homebuyer,Semi-detached house
1738,2021,"Toronto, Ontario",25400,First-time homebuyer,Row house
1739,2022,"Toronto, Ontario",63800,First-time homebuyer,Row house
1741,2021,"Toronto, Ontario",2300,First-time homebuyer,Apartment or flat in a duplex
1742,2022,"Toronto, Ontario",0,First-time homebuyer,Apartment or flat in a duplex
1744,2021,"Toronto, Ontario",75400,First-time homebuyer,Apartment in a building that has five or more storeys
1745,2022,"Toronto, Ontario",60800,First-time homebuyer,Apartment in a building that has five or more storeys
1747,2021,"Toronto, Ontario",15700,First-time homebuyer,Apartment in a building that has fewer than five storeys
1748,2022,"Toronto, Ontario",19500,First-time homebuyer,Apartment in a building that has fewer than five storeys
1750,2021,"Toronto, Ontario",0,First-time homebuyer,Other single-attached house
1751,2022,"Toronto, Ontario",0,First-time homebuyer,Other single-attached house
1753,2021,"Toronto, Ontario",0,First-time homebuyer,Movable dwelling
1754,2022,"Toronto, Ontario",0,First-time homebuyer,Movable dwelling
1759,2021,"Toronto, Ontario",74900,First-time homebuyer,Condominium
1760,2022,"Toronto, Ontario",87300,First-time homebuyer,Condominium
1762,2021,"Toronto, Ontario",151600,First-time homebuyer,Not condominium
1763,2022,"Toronto, Ontario",126600,First-time homebuyer,Not condominium
1766,2021,"Toronto, Ontario",44000,First-time homebuyer,Dwelling satisfaction rating between 0 and 5
1767,2022,"Toronto, Ontario",35000,First-time homebuyer,Dwelling satisfaction rating between 0 and 5
1768,2021,"Toronto, Ontario",58200,First-time homebuyer,Dwelling satisfaction rating of 6 or 7
1769,2022,"Toronto, Ontario",73700,First-time homebuyer,Dwelling satisfaction rating of 6 or 7
1770,2021,"Toronto, Ontario",124300,First-time homebuyer,"Dwelling satisfaction rating of 8, 9 or 10"
1771,2022,"Toronto, Ontario",105300,First-time homebuyer,"Dwelling satisfaction rating of 8, 9 or 10"
1774,2021,"Toronto, Ontario",32200,First-time homebuyer,Neighbourhood satisfaction rating between 0 and 5
1775,2022,"Toronto, Ontario",30800,First-time homebuyer,Neighbourhood satisfaction rating between 0 and 5
1776,2021,"Toronto, Ontario",67300,First-time homebuyer,Neighbourhood satisfaction rating of 6 or 7
1777,2022,"Toronto, Ontario",47900,First-time homebuyer,Neighbourhood satisfaction rating of 6 or 7
1778,2021,"Toronto, Ontario",127200,First-time homebuyer,"Neighbourhood satisfaction rating of 8, 9 or 10"
1779,2022,"Toronto, Ontario",135200,First-time homebuyer,"Neighbourhood satisfaction rating of 8, 9 or 10"
1781,2021,"Toronto, Ontario",2300,First-time homebuyer,"Moved because the household was forced to move by a landlord, a bank or other financial institution or the government"
1782,2022,"Toronto, Ontario",0,First-time homebuyer,"Moved because the household was forced to move by a landlord, a bank or other financial institution or the government"
1784,2021,"Toronto, Ontario",0,First-time homebuyer,Moved due to a natural disaster or fire
1785,2022,"Toronto, Ontario",0,First-time homebuyer,Moved due to a natural disaster or fire
1787,2021,"Toronto, Ontario",29800,First-time homebuyer,Moved for a new job or job transfer
1788,2022,"Toronto, Ontario",13000,First-time homebuyer,Moved for a new job or job transfer
1790,2021,"Toronto, Ontario",6800,First-time homebuyer,Moved for a new school
1791,2022,"Toronto, Ontario",0,First-time homebuyer,Moved for a new school
1793,2021,"Toronto, Ontario",54000,First-time homebuyer,Moved to form own household
1794,2022,"Toronto, Ontario",46300,First-time homebuyer,Moved to form own household
1796,2021,"Toronto, Ontario",3300,First-time homebuyer,Moved to be closer to family
1797,2022,"Toronto, Ontario",10100,First-time homebuyer,Moved to be closer to family
1799,2021,"Toronto, Ontario",16700,First-time homebuyer,Moved because of a change in household or family size
1800,2022,"Toronto, Ontario",20000,First-time homebuyer,Moved because of a change in household or family size
1802,2021,"Toronto, Ontario",31600,First-time homebuyer,Moved to reduce commuting time
1803,2022,"Toronto, Ontario",5600,First-time homebuyer,Moved to reduce commuting time
1805,2021,"Toronto, Ontario",54300,First-time homebuyer,Moved to upgrade to a larger dwelling or better quality dwelling
1806,2022,"Toronto, Ontario",19700,First-time homebuyer,Moved to upgrade to a larger dwelling or better quality dwelling
1808,2021,"Toronto, Ontario",4300,First-time homebuyer,Moved to reduce housing costs
1809,2022,"Toronto, Ontario",2700,First-time homebuyer,Moved to reduce housing costs
1811,2021,"Toronto, Ontario",35400,First-time homebuyer,Moved to be in a more desirable neighbourhood
1812,2022,"Toronto, Ontario",17700,First-time homebuyer,Moved to be in a more desirable neighbourhood
1814,2021,"Toronto, Ontario",4500,First-time homebuyer,Moved for personal health reasons
1815,2022,"Toronto, Ontario",0,First-time homebuyer,Moved for personal health reasons
1817,2021,"Toronto, Ontario",138900,First-time homebuyer,Moved to become a homeowner
1818,2022,"Toronto, Ontario",142400,First-time homebuyer,Moved to become a homeowner
1819,2021,"Toronto, Ontario",3900,First-time homebuyer,Moved due to issues with previous landlord or other tenants
1820,2022,"Toronto, Ontario",6500,First-time homebuyer,Moved due to issues with previous landlord or other tenants
1822,2021,"Toronto, Ontario",2300,First-time homebuyer,Moved for another reason
1823,2022,"Toronto, Ontario",19800,First-time homebuyer,Moved for another reason
1828,2021,"Toronto, Ontario",829700,Repeat homebuyer,Single-detached house
1829,2022,"Toronto, Ontario",829700,Repeat homebuyer,Single-detached house
1831,2021,"Toronto, Ontario",136700,Repeat homebuyer,Semi-detached house
1832,2022,"Toronto, Ontario",137600,Repeat homebuyer,Semi-detached house
1834,2021,"Toronto, Ontario",130900,Repeat homebuyer,Row house
1835,2022,"Toronto, Ontario",118000,Repeat homebuyer,Row house
1837,2021,"Toronto, Ontario",39900,Repeat homebuyer,Apartment or flat in a duplex
1838,2022,"Toronto, Ontario",35400,Repeat homebuyer,Apartment or flat in a duplex
1840,2021,"Toronto, Ontario",173300,Repeat homebuyer,Apartment in a building that has five or more storeys
1841,2022,"Toronto, Ontario",177400,Repeat homebuyer,Apartment in a building that has five or more storeys
1843,2021,"Toronto, Ontario",62800,Repeat homebuyer,Apartment in a building that has fewer than five storeys
1844,2022,"Toronto, Ontario",82200,Repeat homebuyer,Apartment in a building that has fewer than five storeys
1846,2021,"Toronto, Ontario",0,Repeat homebuyer,Other single-attached house
1847,2022,"Toronto, Ontario",10700,Repeat homebuyer,Other single-attached house
1849,2021,"Toronto, Ontario",300,Repeat homebuyer,Movable dwelling
1850,2022,"Toronto, Ontario",0,Repeat homebuyer,Movable dwelling
1855,2021,"Toronto, Ontario",243100,Repeat homebuyer,Condominium
1856,2022,"Toronto, Ontario",273200,Repeat homebuyer,Condominium
1858,2021,"Toronto, Ontario",1130500,Repeat homebuyer,Not condominium
1859,2022,"Toronto, Ontario",1117900,Repeat homebuyer,Not condominium
1862,2021,"Toronto, Ontario",112800,Repeat homebuyer,Dwelling satisfaction rating between 0 and 5
1863,2022,"Toronto, Ontario",165100,Repeat homebuyer,Dwelling satisfaction rating between 0 and 5
1864,2021,"Toronto, Ontario",295400,Repeat homebuyer,Dwelling satisfaction rating of 6 or 7
1865,2022,"Toronto, Ontario",262400,Repeat homebuyer,Dwelling satisfaction rating of 6 or 7
1866,2021,"Toronto, Ontario",965500,Repeat homebuyer,"Dwelling satisfaction rating of 8, 9 or 10"
1867,2022,"Toronto, Ontario",963600,Repeat homebuyer,"Dwelling satisfaction rating of 8, 9 or 10"
1870,2021,"Toronto, Ontario",123200,Repeat homebuyer,Neighbourhood satisfaction rating between 0 and 5
1871,2022,"Toronto, Ontario",129200,Repeat homebuyer,Neighbourhood satisfaction rating between 0 and 5
1872,2021,"Toronto, Ontario",246300,Repeat homebuyer,Neighbourhood satisfaction rating of 6 or 7
1873,2022,"Toronto, Ontario",316200,Repeat homebuyer,Neighbourhood satisfaction rating of 6 or 7
1874,2021,"Toronto, Ontario",1004200,Repeat homebuyer,"Neighbourhood satisfaction rating of 8, 9 or 10"
1875,2022,"Toronto, Ontario",945700,Repeat homebuyer,"Neighbourhood satisfaction rating of 8, 9 or 10"
1877,2021,"Toronto, Ontario",11700,Repeat homebuyer,"Moved because the household was forced to move by a landlord, a bank or other financial institution or the government"
1878,2022,"Toronto, Ontario",20300,Repeat homebuyer,"Moved because the household was forced to move by a landlord, a bank or other financial institution or the government"
1880,2021,"Toronto, Ontario",0,Repeat homebuyer,Moved due to a natural disaster or fire
1881,2022,"Toronto, Ontario",0,Repeat homebuyer,Moved due to a natural disaster or fire
1883,2021,"Toronto, Ontario",54300,Repeat homebuyer,Moved for a new job or job transfer
1884,2022,"Toronto, Ontario",74300,Repeat homebuyer,Moved for a new job or job transfer
1886,2021,"Toronto, Ontario",48700,Repeat homebuyer,Moved for a new school
1887,2022,"Toronto, Ontario",27700,Repeat homebuyer,Moved for a new school
1889,2021,"Toronto, Ontario",148200,Repeat homebuyer,Moved to form own household
1890,2022,"Toronto, Ontario",205400,Repeat homebuyer,Moved to form own household
1892,2021,"Toronto, Ontario",68800,Repeat homebuyer,Moved to be closer to family
1893,2022,"Toronto, Ontario",89800,Repeat homebuyer,Moved to be closer to family
1895,2021,"Toronto, Ontario",227200,Repeat homebuyer,Moved because of a change in household or family size
1896,2022,"Toronto, Ontario",206800,Repeat homebuyer,Moved because of a change in household or family size
1898,2021,"Toronto, Ontario",91500,Repeat homebuyer,Moved to reduce commuting time
1899,2022,"Toronto, Ontario",29600,Repeat homebuyer,Moved to reduce commuting time
1901,2021,"Toronto, Ontario",518600,Repeat homebuyer,Moved to upgrade to a larger dwelling or better quality dwelling
1902,2022,"Toronto, Ontario",447600,Repeat homebuyer,Moved to upgrade to a larger dwelling or better quality dwelling
1904,2021,"Toronto, Ontario",85800,Repeat homebuyer,Moved to reduce housing costs
1905,2022,"Toronto, Ontario",91200,Repeat homebuyer,Moved to reduce housing costs
1907,2021,"Toronto, Ontario",199600,Repeat homebuyer,Moved to be in a more desirable neighbourhood
1908,2022,"Toronto, Ontario",143300,Repeat homebuyer,Moved to be in a more desirable neighbourhood
1910,2021,"Toronto, Ontario",14300,Repeat homebuyer,Moved for personal health reasons
1911,2022,"Toronto, Ontario",24300,Repeat homebuyer,Moved for personal health reasons
1913,2021,"Toronto, Ontario",382500,Repeat homebuyer,Moved to become a homeowner
1914,2022,"Toronto, Ontario",419900,Repeat homebuyer,Moved to become a homeowner
1915,2021,"Toronto, Ontario",6700,Repeat homebuyer,Moved due to issues with previous landlord or other tenants
1916,2022,"Toronto, Ontario",17600,Repeat homebuyer,Moved due to issues with previous landlord or other tenants
1918,2021,"Toronto, Ontario",7500,Repeat homebuyer,Moved for another reason
1919,2022,"Toronto, Ontario",65600,Repeat homebuyer,Moved for another reason
1924,2021,"Toronto, Ontario",74100,Renter,Single-detached house
1925,2022,"Toronto, Ontario",84800,Renter,Single-detached house
1927,2021,"Toronto, Ontario",19300,Renter,Semi-detached house
1928,2022,"Toronto, Ontario",37800,Renter,Semi-detached house
1930,2021,"Toronto, Ontario",51300,Renter,Row house
1931,2022,"Toronto, Ontario",58900,Renter,Row house
1933,2021,"Toronto, Ontario",34200,Renter,Apartment or flat in a duplex
1934,2022,"Toronto, Ontario",6600,Renter,Apartment or flat in a duplex
1936,2021,"Toronto, Ontario",455900,Renter,Apartment in a building that has five or more storeys
1937,2022,"Toronto, Ontario",568900,Renter,Apartment in a building that has five or more storeys
1939,2021,"Toronto, Ontario",171300,Renter,Apartment in a building that has fewer than five storeys
1940,2022,"Toronto, Ontario",166100,Renter,Apartment in a building that has fewer than five storeys
1942,2021,"Toronto, Ontario",1300,Renter,Other single-attached house
1943,2022,"Toronto, Ontario",500,Renter,Other single-attached house
1945,2021,"Toronto, Ontario",600,Renter,Movable dwelling
1946,2022,"Toronto, Ontario",0,Renter,Movable dwelling
1951,2021,"Toronto, Ontario",169400,Renter,Condominium
1952,2022,"Toronto, Ontario",209000,Renter,Condominium
1954,2021,"Toronto, Ontario",638700,Renter,Not condominium
1955,2022,"Toronto, Ontario",714600,Renter,Not condominium
1958,2021,"Toronto, Ontario",207400,Renter,Dwelling satisfaction rating between 0 and 5
1959,2022,"Toronto, Ontario",218700,Renter,Dwelling satisfaction rating between 0 and 5
1960,2021,"Toronto, Ontario",232000,Renter,Dwelling satisfaction rating of 6 or 7
1961,2022,"Toronto, Ontario",294400,Renter,Dwelling satisfaction rating of 6 or 7
1962,2021,"Toronto, Ontario",368700,Renter,"Dwelling satisfaction rating of 8, 9 or 10"
1963,2022,"Toronto, Ontario",410400,Renter,"Dwelling satisfaction rating of 8, 9 or 10"
1966,2021,"Toronto, Ontario",134800,Renter,Neighbourhood satisfaction rating between 0 and 5
1967,2022,"Toronto, Ontario",180300,Renter,Neighbourhood satisfaction rating between 0 and 5
1968,2021,"Toronto, Ontario",160400,Renter,Neighbourhood satisfaction rating of 6 or 7
1969,2022,"Toronto, Ontario",244200,Renter,Neighbourhood satisfaction rating of 6 or 7
1970,2021,"Toronto, Ontario",512800,Renter,"Neighbourhood satisfaction rating of 8, 9 or 10"
1971,2022,"Toronto, Ontario",499100,Renter,"Neighbourhood satisfaction rating of 8, 9 or 10"
1973,2021,"Toronto, Ontario",79500,Renter,"Moved because the household was forced to move by a landlord, a bank or other financial institution or the government"
1974,2022,"Toronto, Ontario",77300,Renter,"Moved because the household was forced to move by a landlord, a bank or other financial institution or the government"
1976,2021,"Toronto, Ontario",12200,Renter,Moved due to a natural disaster or fire
1977,2022,"Toronto, Ontario",6500,Renter,Moved due to a natural disaster or fire
1979,2021,"Toronto, Ontario",78500,Renter,Moved for a new job or job transfer
1980,2022,"Toronto, Ontario",136400,Renter,Moved for a new job or job transfer
1982,2021,"Toronto, Ontario",46700,Renter,Moved for a new school
1983,2022,"Toronto, Ontario",24400,Renter,Moved for a new school
1985,2021,"Toronto, Ontario",58700,Renter,Moved to form own household
1986,2022,"Toronto, Ontario",79500,Renter,Moved to form own household
1988,2021,"Toronto, Ontario",62600,Renter,Moved to be closer to family
1989,2022,"Toronto, Ontario",67400,Renter,Moved to be closer to family
1991,2021,"Toronto, Ontario",125600,Renter,Moved because of a change in household or family size
1992,2022,"Toronto, Ontario",110200,Renter,Moved because of a change in household or family size
1994,2021,"Toronto, Ontario",85700,Renter,Moved to reduce commuting time
1995,2022,"Toronto, Ontario",90800,Renter,Moved to reduce commuting time
1997,2021,"Toronto, Ontario",215500,Renter,Moved to upgrade to a larger dwelling or better quality dwelling
1998,2022,"Toronto, Ontario",205700,Renter,Moved to upgrade to a larger dwelling or better quality dwelling
2000,2021,"Toronto, Ontario",74900,Renter,Moved to reduce housing costs
2001,2022,"Toronto, Ontario",67100,Renter,Moved to reduce housing costs
2003,2021,"Toronto, Ontario",112200,Renter,Moved to be in a more desirable neighbourhood
2004,2022,"Toronto, Ontario",95000,Renter,Moved to be in a more desirable neighbourhood
2006,2021,"Toronto, Ontario",33500,Renter,Moved for personal health reasons
2007,2022,"Toronto, Ontario",54500,Renter,Moved for personal health reasons
2009,2021,"Toronto, Ontario",18000,Renter,Moved to become a homeowner
2010,2022,"Toronto, Ontario",3300,Renter,Moved to become a homeowner
2011,2021,"Toronto, Ontario",49600,Renter,Moved due to issues with previous landlord or other tenants
2012,2022,"Toronto, Ontario",67000,Renter,Moved due to issues with previous landlord or other tenants
2014,2021,"Toronto, Ontario",23700,Renter,Moved for another reason
2015,2022,"Toronto, Ontario",157400,Renter,Moved for another reason
2020,2021,"Hamilton, Ontario",15100,First-time homebuyer,Single-detached house
2021,2022,"Hamilton, Ontario",14500,First-time homebuyer,Single-detached house
2023,2021,"Hamilton, Ontario",0,First-time homebuyer,Semi-detached house
2024,2022,"Hamilton, Ontario",2600,First-time homebuyer,Semi-detached house
2026,2021,"Hamilton, Ontario",4700,First-time homebuyer,Row house
2027,2022,"Hamilton, Ontario",8300,First-time homebuyer,Row house
2029,2021,"Hamilton, Ontario",1900,First-time homebuyer,Apartment or flat in a duplex
2030,2022,"Hamilton, Ontario",900,First-time homebuyer,Apartment or flat in a duplex
2032,2021,"Hamilton, Ontario",1600,First-time homebuyer,Apartment in a building that has five or more storeys
2033,2022,"Hamilton, Ontario",3100,First-time homebuyer,Apartment in a building that has five or more storeys
